gk_norm,ump_norm,peng_norm,rr_upah_norm
"0,2502610687","0,2652836901","0,1441406808","0,1117963576"
"0,2881215769","0,3238336762","0,1962546394","0,2111754967"
"0,336855379","0,4260616841","0,2672642984","0,2600993377"
"0,3806982991","0,4796543487","0,3231250932","0,2189155629"
"0,4220279586","0,5377514769","0,335221419","0,2706953642"
"0,4718987952","0,604265601","0,4028114973","0,3962748344"
"0,5151023156","0,604265601","0,4522104489","0,3523178808"
"0,6057267103","0,6046485205","0,4784000957","0,3413493377"
"0,1754831084","0,1915937762","0,1240173777","0,0866307947"
"0,2413613961","0,2416694222","0,1851922506","0,1291804636"
"0,2804872855","0,2817243118","0,2285317092","0,2016142384"
"0,3260083379","0,3275018262","0,2984934662","0,1958609272"
"0,385494963","0,3733808986","0,3450577861","0,2291390728"
"0,4308360383","0,4259070692","0,3915069606","0,3072847682"
"0,4783870095","0,4259070692","0,4048016417","0,2881208609"
"0,5566151608","0,4321203348","0,4621032029","0,2734271523"
"0,2443203695","0,1889141429","0,2354538704","0,1124172185"
"0,3084624773","0,2386816312","0,3063462762","0,19375"
"0,3490955646","0,2784899945","0,3599979659","0,2422599338"
"0,3941749878","0,3239856114","0,4310629579","0,2444536424"
"0,4561774987","0,3695803748","0,4378823578","0,2766970199"
"0,5063592842","0,4217852574","0,4935386838","0,3744205298"
"0,5549956596","0,4217852574","0,5257501445","0,3354718543"
"0,6570431968","0,4294216762","0,5741660128","0,304718543"
"0,2654844386","0,259388497","0,3235688114","0,1977649007"
"0,3055924714","0,3175365381","0,3883390133","0,2889486755"
"0,3576933309","0,3635517359","0,4133403176","0,2755380795"
"0,3986782046","0,4164562708","0,4668455065","0,2933774834"
"0,451048592","0,4694787095","0,5067340289","0,3205711921"
"0,5097067979","0,5301825848","0,597138176","0,4091887417"
"0,5648071767","0,5301825848","0,5931431318","0,4395281457"
"0,6559049955","0,543580751","0,6597053332","0,4180877483"
"0,1860375776","0,2143706587","0,2020796258","0,1833195364"
"0,2302547447","0,2670656462","0,2612214053","0,192218543"
"0,2608689184","0,3089617118","0,3173275098","0,2401076159"
"0,3196589713","0,3573877756","0,3737010573","0,2269039735"
"0,368974417","0,4056667276","0,3896770185","0,2391970199"
"0,4194607341","0,4609403262","0,4354037018","0,3027731788"
"0,4709507802","0,5034564589","0,4769830433","0,3111754967"
"0,570534062","0,4793705756","0,540963037","0,311134106"
"0,1447592567","0,2852056913","0,1126556637","0,1281870861"
"0,1843807391","0,347280467","0,2024440333","0,1654801325"
"0,2155523456","0,3960497919","0,269237316","0,1723923841"
"0,259405475","0,4517848233","0,3029459302","0,1940811258"
"0,291321492","0,5076439218","0,2885235094","0,2092301325"
"0,3282826986","0,5715955126","0,3399845384","0,2709850993"
"0,3630602622","0,5715955126","0,3970402629","0,3041390728"
"0,4325127122","0,5987495759","0,4409425374","0,3084850993"
"0,2476804262","0,1580983608","0,1779014661","0,1641556291"
"0,3029418216","0,1862345097","0,2607826935","0,204718543"
"0,3583913616","0,2217160693","0,3317417624","0,2270695364"
"0,414015628","0,262266691","0,4277709065","0,2412251656"
"0,4572459845","0,3029076164","0,4209056593","0,2477649007"
"0,4905778982","0,3493180601","0,4587384282","0,3676324503"
"0,5489161126","0,4156100426","0,4542999292","0,4033940397"
"0,6344827747","0,3558804819","0,4944801357","0,3301324503"
"0,170193185","0,17980339","0,1382055553","0,06535596026"
"0,2029052428","0,2285727148","0,1764933724","0,07698675497"
"0,242125642","0,2675471763","0,2276598189","0,1121274834"
"0,2760634102","0,3120896477","0,279032842","0,1346854305"
"0,3115594233","0,3567315334","0,2833506622","0,1676324503"
"0,3634485108","0,407840714","0,31831639","0,2643625828"
"0,4078147351","0,4078404461","0,36546724","0,2772764901"
"0,4932667603","0,4101141149","0,3937719257","0,1942466887"
"0,4416320325","0,3188763548","0,3954034594","0,1711506623"
"0,5114636884","0,3835894973","0,467783533","0,2372516556"
"0,596964427","0,4364246297","0,581086593","0,2606374172"
"0,6836870839","0,4945113072","0,6254286333","0,3018625828"
"0,7696988755","0,5538014081","0,6933027544","0,3662251656"
"0,8178702859","0,6216813412","0,6878772197","0,2995860927"
"0,8846219141","0,5602587883","0,7099898767","0,3794288079"
1,"0,6310225427","0,8074113051","0,3976407285"
"0,351620493","0,2797537096","0,4763983577","0,427897351"
"0,4085614792","0,3399677479","0,561619645","0,5171357616"
"0,4564858224","0,3881325475","0,6263094823","0,4680049669"
"0,5229816324","0,4431778414","0,6481062141","0,6079056291"
"0,5809030119","0,4983458624","0,7598475654","0,5954884106"
"0,6185036182","0,5615064255","0,765064679","0,683236755"
"0,669939117","0,5615064255","0,810045684","0,7123758278"
"0,773235117","0,5734876016","0,810492564","0,6209850993"
"0,3055280064","0,4796543487","0,6037544247","0,3512831126"
"0,3292269215","0,5868396781","0,6581475769","0,6066225166"
"0,3780820695","0,655371298","0,721806112","0,6333195364"
"0,4283084846","0,7336932259","0,7437870237","0,691763245"
"0,4864900578","0,812189598","0,8054201068","0,6916804636"
"0,5233165005","0,9020583335","0,8591084216","0,823468543"
"0,5518739193","0,2291086414","0,9004437708","0,9162665563"
"0,6100003617",1,1,1
"0,09767762591","0,0241166991","0,1867847877","0,1126655629"
"0,125196312","0,3590708533","0,2464290438","0,2593543046"
"0,161209212","0,136828504","0,3352738537","0,3177566225"
"0,1956641589","0,1699854817","0,416758054","0,3442880795"
"0,2344615975","0,2032161494","0,4478428289","0,3658940397"
"0,2714111363","0,2412610461","0,4944938372","0,4367963576"
"0,3051240062","0,4609403262","0,5269316363","0,4632036424"
"0,3659031403","0,2496043522","0,5736537871","0,4351407285"
"0,08174864128",0,"0,06563813995",0
"0,1104346984",0,"0,1130964834","0,05960264901"
"0,1383623436","0,1224592388","0,1654950119","0,08460264901"
"0,1702066031","0,1543642919","0,2510654242","0,1197019868"
"0,2077946664","0,1863406232","0,2650965614","0,1367135762"
"0,2449883555","0,2229495045","0,3139864492","0,1730960265"
"0,278668847","0,2412610461","0,3371261925","0,1882036424"
"0,341012935","0,2419534633","0,3939418771","0,1688327815"
"0,1418382039","0,02103512088","0,2048009566","0,07926324503"
"0,1682624432","0,02103512088","0,3093087008","0,1467301325"
"0,2126158328","0,1145931754","0,3537224106","0,1554635762"
"0,256067879","0,1458133142","0,4637046987","0,166763245"
"0,3025419052","0,1771031235","0,4894933129","0,1966059603"
"0,3414321035","0,2129258004","0,5395459846","0,2999172185"
"0,3837345722","0,3496921369","0,5436574917","0,2720612583"
"0,4625884133","0,2494513451","0,5890664054","0,2645281457"
"0,09435578155","0,0241166991","0,1713302744","0,02851821192"
"0,1199501432","0,0241166991","0,2009089371","0,1117963576"
"0,1649338898","0,1146883024","0,2507091849","0,1389900662"
"0,2134363762","0,1604818945","0,3006469748","0,1670529801"
"0,2512429205","0,1929494026","0,3222513584","0,1901490066"
"0,279579233","0,2301207389","0,3445832396","0,2427152318"
"0,3141753612","0,2382137672","0,3804327148","0,2592715232"
"0,3792675257","0,2630239554","0,42090118","0,2729304636"
"0,1508913091","0,1848946931","0,2749571696","0,2360513245"
"0,192372651","0,2341999446","0,3492528197","0,5177152318"
"0,235360024","0,2736387865","0,4312252681","0,4633278146"
"0,3072423091","0,3187115573","0,5288711905","0,4983443709"
"0,3629654608","0,3638915134","0,5647172403","0,5164735099"
"0,4308471228","0,4156103106","0,635780915","0,6005794702"
"0,4770551214","0,6216810733","0,6328611758","0,6752483444"
"0,5540581457","0,426384044","0,7089704316","0,6355546358"
"0,1179596035","0,1905680126","0,3157934676","0,1040149007"
"0,1460844358","0,240523879","0,3564948585","0,2618791391"
"0,1814661037","0,2804844455","0,5204297426","0,2938327815"
"0,221957718","0,3261534347","0,5458705492","0,3048013245"
"0,2555364073","0,3719247859","0,5594526984","0,3262831126"
"0,3004667734","0,4244539041","0,6435122557","0,3828642384"
"0,3388397931","0,4244539041","0,6119381788","0,3781870861"
"0,4127312865","0,4306092896","0,5936456083","0,3448675497"
"0,1098597638","0,1125445958","0,04533645376","0,02740066225"
"0,1385306527","0,1535295861","0,1190608563","0,05856788079"
"0,162315035","0,1932672071","0,1663476674","0,1008692053"
"0,1983422281","0,2451864408","0,2406238192","0,1173013245"
"0,231144712","0,2954590399","0,3262806565","0,1419288079"
"0,2622565206","0,3413539222","0,3742219782","0,2111754967"
"0,3075366313","0,3413539222","0,4577975033","0,1848923841"
"0,381347033","0,3476052386","0,4274462861","0,1328228477"
"0,1092404913","0,09110752993",0,"0,1204884106"
"0,1462918323","0,1380011115","0,04031432319","0,1797599338"
"0,1810553944","0,1647974438","0,1279336383","0,1554635762"
"0,2021421637","0,2009724925","0,1450858215","0,1569950331"
"0,2444627176","0,2371475411","0,1772967552","0,1690811258"
"0,2947617653","0,2786818563","0,220730807","0,3795943709"
"0,3342826123","0,2786818563","0,2497896028","0,3253725166"
"0,422337449","0,2853809393","0,2746494126","0,1857201987"
"0,1344582722","0,1741761602","0,1616546366","0,1716059603"
"0,1737638469","0,2222487804","0,227545464","0,2092301325"
"0,2285512348","0,2607015173","0,2888515552","0,2569950331"
"0,2807941507","0,3046475023","0,3684955373","0,2520281457"
"0,3366736518","0,3487542653","0,4042222259","0,280794702"
"0,3860620218","0,3991846948","0,438826708","0,3134519868"
"0,4244642111","0,2569170712","0,4636195913","0,3146523179"
"0,4992109599","0,4084639967","0,5208212896","0,3233443709"
