sum total gk,ump,sum total peng,rr upah
2399196,1900000,2403737,11226
2528990,2118500,2601520,13627
2696060,2500000,2871016,14809
2846363,2700000,3083019,13814
2988050,2916810,3128927,15065
3159018,3165031,3385445,18099
3307129,3165031,3572924,17037
3617809,3166460,3672319,16772
2142841,1625000,2327365,10618
2368686,1811875,2559536,11646
2502818,1961354,2724018,13396
2658874,2132189,2989537,13257
2862807,2303403,3166258,14061
3018246,2499423,3342542,15949
3181261,2499423,3392998,15486
3449444,2522610,3610469,15131
2378830,1615000,2750289,11241
2598723,1800725,3019340,13206
2738022,1949284,3222959,14378
2892564,2119067,3492665,14431
3105122,2289220,3518546,15210
3277156,2484041,3729773,17571
3443892,2484041,3852022,16630
3793733,2512539,4035770,15887
2451385,1878000,3084703,13303
2588884,2095000,3330519,15506
2767497,2266722,3425404,15182
2908002,2464154,3628467,15613
3087539,2662026,3779852,16270
3288632,2888564,4122954,18411
3477528,2888564,4107792,19144
3789831,2938564,4360409,18626
2179024,1710000,2623627,12954
2330610,1906650,2848082,13169
2435562,2063000,3061016,14326
2637107,2243719,3274965,14007
2806171,2423889,3335597,14304
2979249,2630162,3509139,15840
3155768,2788826,3666941,16043
3497161,2698941,3909758,16042
2037513,1974346,2284245,11622
2173344,2206000,2625010,12523
2280207,2388000,2878504,12690
2430545,2595995,3006435,13214
2539960,2804453,2951699,13580
2666671,3043111,3147004,15072
2785896,3043111,3363542,15873
3023994,3144446,3530160,15978
2390349,1500000,2531866,12491
2579797,1605000,2846417,13471
2769890,1737412,3115721,14011
2960582,1888741,3480171,14353
3108785,2040407,3454116,14511
3223054,2213604,3597699,17407
3423050,2460996,3580854,18271
3716391,2238094,3733346,16501
2124706,1581000,2381212,10104
2236850,1763000,2526522,10385
2371306,1908447,2720709,11234
2487652,2074673,2915680,11779
2609340,2241270,2932067,12575
2787227,2432002,3064769,14912
2939324,2432001,3243716,15224
3232272,2440486,3351138,13218
3055257,2100000,3357330,12660
3294655,2341500,3632027,14257
3587770,2538673,4062035,14822
3885074,2755444,4230322,15818
4179941,2976706,4487918,17373
4345083,3230024,4467327,15763
4573922,3000804,4551249,17692
4969463,3264884,4920983,18132
2746678,1954000,3664722,18863
2941884,2178710,3988154,21019
3106179,2358454,4233665,19832
3334141,2563875,4316388,23212
3532708,2769754,4740469,22912
3661611,3005460,4760269,25032
3837943,3005460,4930981,25736
4192064,3050172,4932677,23528
2588663,2700000,4148064,17012
